job_title,company_name,job_type
2D Illustrator - Alexandria,Arabic Localizer -,Full Time
Illustrator,ProfileTree -,Full Time
Illustrator,Beyond Insurance Brokerage -,Full Time
Graphic Designer,Pillarsconstructions -,Full Time
Graphic Designer,PPLMX -,Full Time
Graphic Designer,More -,Full Time
2D Concept Artist,Solutions -,Full Time
Senior Graphic Designer,Confidential -,Full Time
Senior UI UX Designer,The Address Investments for Real Estate Consultancy -,Full Time
Graphic Designer,COLORS -,Full Time
Junior Graphic Designer,Confidential -,Full Time
Motion Graphic Instructor (Part-time),Arabic Localizer -,Part Time
Senior UX Designer,Sarmady -,Full Time
E-Commerce Graphic Designer,La Casa Egypt -,Full Time
Fashion Designer - Patternmaking,Fashion Retail Group -,Full Time
2D Illustrator - Alexandria,Arabic Localizer -,Full Time
Illustrator,ProfileTree -,Full Time
Illustrator,Beyond Insurance Brokerage -,Full Time
Graphic Designer,Pillarsconstructions -,Full Time
Graphic Designer,PPLMX -,Full Time
Graphic Designer,More -,Full Time
2D Concept Artist,Solutions -,Full Time
Senior Graphic Designer,Confidential -,Full Time
Senior UI UX Designer,The Address Investments for Real Estate Consultancy -,Full Time
Graphic Designer,COLORS -,Full Time
Junior Graphic Designer,Confidential -,Full Time
Motion Graphic Instructor (Part-time),Arabic Localizer -,Part Time
Senior UX Designer,Sarmady -,Full Time
E-Commerce Graphic Designer,La Casa Egypt -,Full Time
Fashion Designer - Patternmaking,Fashion Retail Group -,Full Time
2D Illustrator - Alexandria,Arabic Localizer -,Full Time
Illustrator,ProfileTree -,Full Time
Illustrator,Beyond Insurance Brokerage -,Full Time
Graphic Designer,Pillarsconstructions -,Full Time
Graphic Designer,PPLMX -,Full Time
Graphic Designer,More -,Full Time
2D Concept Artist,Solutions -,Full Time
Senior Graphic Designer,Confidential -,Full Time
Senior UI UX Designer,The Address Investments for Real Estate Consultancy -,Full Time
Graphic Designer,COLORS -,Full Time
Junior Graphic Designer,Confidential -,Full Time
Motion Graphic Instructor (Part-time),Arabic Localizer -,Part Time
Senior UX Designer,Sarmady -,Full Time
E-Commerce Graphic Designer,La Casa Egypt -,Full Time
Fashion Designer - Patternmaking,Fashion Retail Group -,Full Time
